ID,positionNumber,description,quantity,unit,unitPrice,totalPrice,order_ID
1,10,Laptop Dell Latitude 5550,10,EA,1250.00,12500.00,1
2,20,Docking Station USB-C,10,EA,185.00,1850.00,1
3,30,Wireless Keyboard and Mouse,10,SET,75.00,750.00,1
4,10,Office Monitors 27 inch,15,EA,320.00,4800.00,2
5,20,HDMI Cables,15,EA,18.00,270.00,2
6,10,Industrial Safety Helmets,50,EA,45.00,2250.00,3
7,20,Protective Safety Glasses,50,EA,22.00,1100.00,3
8,30,Protective Gloves,100,PAIR,12.50,1250.00,3
9,10,Software Licenses,25,EA,240.00,6000.00,4
10,20,Implementation Services,1,JOB,3500.00,3500.00,4
11,10,Warehouse Shelving Units,8,EA,850.00,6800.00,5
12,20,Storage Boxes,100,EA,14.50,1450.00,5
